lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
141,0,80.75,4,17,3,2,2,0,3,1
7,0,129.0,5,11,4,1,0,3,0,0
16,2,88.8,3,3,4,3,1,0,3,1
241,1,75.92,10,30,4,3,2,0,3,1
192,0,102.0,9,25,3,3,2,0,0,0
278,0,89.25,11,28,4,3,1,0,0,0
36,0,75.6,10,13,3,2,0,0,0,1
14,1,210.0,9,1,4,3,1,0,5,1
157,1,90.0,3,19,4,3,2,0,0,1
138,1,96.3,8,27,4,1,2,0,0,1
3,1,143.0,9,5,4,1,0,0,0,1
88,1,72.25,3,31,4,6,2,3,0,1
209,1,90.95,8,16,4,4,0,0,0,0
193,1,76.85,7,9,4,1,2,0,1,1
16,2,137.0,4,17,4,0,1,0,3,1
179,0,88.76,8,25,4,3,0,0,1,0
207,0,72.25,8,20,3,6,4,0,0,1
201,3,68.8,11,1,4,4,0,0,0,1
121,0,97.54,7,25,4,2,1,0,1,0
5,2,149.0,8,26,4,2,0,0,0,1
1,1,89.0,4,16,4,2,2,3,0,1
132,2,92.02,6,28,4,8,2,0,0,1
123,0,162.0,9,20,4,5,1,0,3,0
60,0,204.0,11,7,4,2,1,3,4,0
59,0,93.6,12,23,4,2,0,0,0,0
112,1,95.63,7,11,4,5,3,3,0,1
85,0,105.0,12,8,3,3,0,0,0,1
145,0,80.75,9,19,3,2,1,0,0,1
0,0,91.2,9,8,3,1,0,0,0,1
3,1,195.0,9,26,4,1,1,0,3,1
41,1,249.63,10,15,4,5,2,0,6,1
56,1,125.1,8,6,4,1,1,3,0,1
133,0,85.5,5,17,3,5,1,0,0,1
3,1,66.57,2,18,4,1,0,0,0,1
51,1,146.92,10,7,4,1,0,0,5,1
143,0,121.8,7,19,4,3,0,0,3,0
26,1,151.0,5,19,4,3,1,0,3,1
27,0,111.2,9,26,4,1,1,0,0,0
5,1,162.0,8,15,4,1,1,0,5,0
6,0,79.0,8,17,2,1,0,0,0,1
2,0,81.0,1,26,4,1,0,3,0,1
193,2,106.71,9,10,4,1,2,0,0,0
23,1,85.67,3,12,4,1,2,0,0,0
40,3,100.8,11,4,4,2,0,0,0,1
5,3,110.0,2,12,4,1,0,0,0,1
4,1,139.33,9,30,4,3,0,3,0,1
5,0,80.0,2,12,4,1,0,3,0,1
12,1,145.0,7,11,4,1,1,0,0,1
17,0,125.33,12,28,4,5,1,0,3,1
57,2,118.8,10,2,4,1,2,0,0,1
35,0,81.9,3,13,4,1,2,0,0,1
45,0,60.0,1,16,3,1,2,0,0,1
2,0,82.0,2,10,3,3,0,0,0,1
93,0,115.0,10,15,4,1,2,0,0,0
4,1,139.0,7,6,4,2,0,3,0,1
210,0,86.0,10,8,3,3,1,1,0,0
8,0,91.0,2,16,4,1,0,0,0,1
59,1,109.8,8,31,4,3,0,0,0,1
7,1,129.0,9,20,4,1,0,3,0,0
139,1,72.25,12,3,4,1,0,0,0,0
21,0,85.0,10,4,3,3,0,0,0,1
47,1,101.1,3,16,4,3,0,0,3,0
31,1,69.5,2,6,4,1,2,3,0,1
30,1,92.25,9,25,4,2,2,0,3,1
21,3,105.0,9,5,4,2,2,0,0,1
33,1,125.1,7,23,4,1,2,3,0,1
45,0,126.0,10,3,4,2,1,0,0,0
49,1,126.9,5,13,4,2,2,0,0,1
71,2,149.4,9,8,4,3,1,0,3,1
43,0,68.0,11,19,3,2,2,0,0,1
10,1,111.35,5,31,4,3,0,0,0,1
68,1,88.4,12,8,4,3,1,0,0,1
7,1,127.0,2,13,4,1,0,0,3,1
3,0,79.0,2,6,4,6,2,3,0,0
14,1,114.0,9,15,4,2,0,0,0,1
151,0,200.0,6,27,4,0,1,0,4,0
130,1,109.8,8,24,4,2,0,0,0,1
4,0,65.0,11,9,2,0,1,0,0,1
5,0,100.0,9,20,2,0,2,0,0,1
121,1,103.5,5,17,4,1,0,3,0,1
8,0,156.0,6,10,4,2,0,0,3,0
44,1,74.82,1,29,4,3,2,0,0,1
0,1,0.0,9,9,1,1,0,0,3,1
3,4,111.0,11,18,4,2,0,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
0,0,181.0,11,23,4,1,0,0,5,0
123,0,93.9,4,29,4,2,1,0,0,0
15,2,92.94,11,13,4,2,2,1,0,1
13,1,86.8,3,2,4,3,0,0,3,1
8,0,92.58,12,26,4,1,2,0,1,1
5,1,99.0,4,11,3,1,1,3,0,1
1,1,142.0,9,9,4,2,0,0,0,0
43,2,194.3,11,1,4,3,0,1,3,1
42,0,65.0,9,15,2,3,0,0,0,1
19,0,174.5,3,18,4,2,0,1,0,0
21,1,94.5,5,10,4,1,0,0,0,1
17,1,101.0,6,13,4,0,1,0,0,1
359,0,70.0,10,14,3,3,2,0,0,1
55,0,149.4,7,27,4,4,0,0,3,0
38,2,53.97,2,6,4,2,2,3,0,1
286,0,91.0,9,16,3,2,0,1,0,1
29,0,68.07,11,23,4,4,0,0,0,0
21,0,60.0,12,18,4,2,2,3,0,1
89,0,110.3,6,26,4,5,4,0,0,0
38,0,107.1,7,1,4,3,2,3,0,1
33,2,146.7,4,20,4,1,0,0,3,1
263,0,0.0,9,21,4,0,1,0,0,1
180,2,95.13,8,14,4,5,2,0,0,1
27,1,143.3,11,6,4,3,2,0,0,1
6,0,161.0,11,25,4,1,0,0,3,1
48,0,89.3,2,11,4,2,0,0,0,1
107,1,132.6,5,26,4,3,2,0,3,1
0,0,79.0,1,21,4,1,0,3,0,1
6,0,137.0,9,3,4,3,2,0,0,0
143,1,143.1,9,21,4,4,1,0,3,0
73,1,87.3,4,3,4,1,2,0,0,1
73,1,115.8,4,9,4,1,2,0,3,1
308,2,78.3,11,23,4,3,0,3,0,0
203,1,102.08,9,5,3,3,1,0,0,0
17,1,80.0,3,17,2,2,0,0,0,1
66,1,108.0,10,16,4,2,2,3,0,0
81,0,73.95,2,27,4,6,2,0,0,0
113,1,116.1,6,13,4,2,1,3,0,1
7,0,59.14,12,23,4,5,2,3,0,1
31,0,87.04,4,23,3,1,2,0,3,1
44,0,89.1,6,22,4,2,0,3,0,0
1,1,116.0,4,8,4,2,2,0,0,1
24,1,85.0,10,16,3,1,2,0,0,1
57,0,91.0,9,16,3,2,0,1,0,1
11,0,157.67,12,29,3,3,0,0,4,1
95,2,72.25,12,5,4,1,0,0,0,1
64,1,140.0,5,17,2,2,0,0,0,1
92,0,70.0,10,7,3,4,0,0,0,1
7,0,0.0,2,15,4,0,0,0,0,1
57,1,89.1,10,30,4,0,2,3,0,1
63,0,144.1,8,9,4,3,0,0,0,1
9,0,144.33,3,26,4,1,2,0,0,0
20,1,208.0,12,31,4,1,1,0,5,1
1,0,91.0,2,19,2,1,0,0,0,1
2,0,72.0,2,17,3,3,0,0,0,1
178,2,90.9,10,26,4,4,0,0,0,1
252,1,69.42,12,28,4,7,2,3,0,0
63,1,105.3,7,23,4,3,2,0,0,1
5,1,206.0,9,26,4,2,2,0,0,1
57,0,140.13,9,7,4,3,0,0,3,1
4,0,99.0,3,11,2,1,0,0,0,1
8,0,64.4,3,9,3,2,0,0,0,1
23,1,119.4,10,27,3,1,0,0,0,1
51,1,151.2,10,2,4,0,2,0,3,1
132,2,162.0,9,22,4,3,0,0,3,1
36,1,77.99,12,22,4,1,0,3,0,1
82,0,80.75,4,11,3,2,1,0,0,1
3,2,146.5,8,29,4,3,1,0,0,1
44,0,113.52,4,10,4,3,2,0,3,0
14,0,132.0,3,30,4,8,2,0,3,0
24,2,114.0,10,8,4,3,0,3,0,1
13,1,65.0,6,14,2,3,0,0,0,1
81,1,149.4,9,8,4,3,0,0,3,0
226,0,70.0,10,29,4,2,2,0,0,0
22,0,0.0,2,2,1,2,0,0,0,1
8,1,92.66,10,29,4,1,2,3,0,1
68,1,131.4,6,30,4,2,0,0,3,0
36,0,159.3,5,14,4,1,1,0,3,0
9,2,148.0,8,14,4,1,2,3,0,1
7,0,117.9,5,24,2,1,0,0,0,1
6,0,152.0,10,1,4,1,1,0,3,1
155,3,105.52,8,14,4,5,2,0,0,1
32,0,81.9,3,13,4,2,2,0,0,1
17,0,108.0,3,4,4,1,0,0,3,1
67,1,75.54,9,5,4,2,1,0,0,1
40,0,88.2,3,20,4,0,1,3,0,1
79,2,146.96,7,6,4,5,2,0,3,1
117,1,112.5,8,12,4,2,0,3,0,1
161,2,114.75,7,27,4,4,0,0,0,0
7,1,231.78,10,13,4,2,0,0,6,1
43,0,86.75,1,14,4,3,0,0,1,0
91,2,134.1,8,1,4,3,1,0,0,1
50,0,159.6,8,22,4,6,3,0,3,0
17,0,102.33,4,2,4,1,2,3,0,0
35,1,97.0,12,26,4,1,0,0,3,1
123,1,143.1,9,20,4,5,1,0,3,0
11,0,64.8,3,5,3,1,2,0,0,1
22,0,139.0,9,26,4,3,1,0,0,0
82,1,96.3,6,26,4,0,1,0,0,1
67,1,119.0,12,4,4,2,2,0,3,1
35,1,113.85,10,17,4,1,1,0,3,1
165,0,94.5,7,17,4,0,1,3,0,0
40,0,60.0,11,7,3,1,2,0,3,1
131,1,86.9,10,21,4,2,2,0,0,1
13,0,95.0,4,19,0,3,0,0,0,1
145,0,95.4,6,2,4,3,0,0,0,0
11,0,90.0,2,5,4,1,0,3,0,1
72,0,84.0,9,18,3,1,0,1,0,1
15,0,195.4,3,17,4,3,2,0,5,0
104,1,114.3,7,3,4,2,2,0,0,1
3,0,160.8,6,11,4,1,0,0,5,1
0,0,75.0,11,16,2,2,1,0,0,1
32,1,73.0,11,20,3,2,0,0,0,1
119,1,81.47,10,24,4,3,1,0,3,1
0,0,158.0,8,18,4,1,0,3,0,0
1,1,139.0,7,4,4,1,1,3,0,1
21,1,73.03,3,8,4,3,0,0,3,1
12,1,95.0,9,14,2,2,0,3,0,1
94,0,94.5,7,12,4,5,1,3,0,0
111,2,155.7,8,11,4,2,0,0,3,1
0,0,80.0,8,23,4,0,1,0,0,1
101,0,114.3,7,4,4,5,2,0,0,0
112,0,120.0,6,2,3,3,0,0,0,0
98,1,132.3,10,10,4,3,1,0,3,1
35,0,135.9,7,8,4,1,0,0,0,1
99,0,101.5,3,24,4,3,0,3,0,1
4,0,83.93,4,15,4,2,1,3,0,0
115,0,72.25,8,20,3,2,2,0,0,1
228,0,90.95,8,27,4,4,2,0,0,0
107,0,76.5,8,12,4,1,0,0,1,1
33,1,42.0,11,10,3,4,0,0,0,1
36,1,108.0,10,20,4,1,0,3,0,1
23,2,89.0,9,11,4,0,2,3,0,1
29,1,100.28,3,10,4,3,2,0,0,1
162,0,70.0,9,17,3,3,0,0,0,1
309,0,101.0,5,13,3,2,1,1,0,0
121,0,90.0,6,24,4,2,1,0,0,0
0,0,75.0,12,21,4,0,1,3,0,1
76,0,49.07,11,8,3,1,2,0,0,1
192,0,68.23,10,31,3,2,1,0,0,1
17,0,102.15,5,30,4,2,1,0,3,0
8,2,187.43,9,23,4,5,2,0,0,1
3,0,66.0,2,1,2,2,1,0,0,1
73,1,87.3,4,5,4,1,0,0,0,1
12,0,80.0,1,19,3,2,0,0,0,1
7,1,117.0,9,21,3,4,0,1,0,1
4,0,64.4,3,16,3,1,0,0,0,1
248,0,72.25,8,2,3,6,2,0,0,1
1,2,111.65,9,20,4,3,2,0,0,1
75,0,106.08,11,5,4,5,2,0,0,1
0,0,95.5,8,31,2,2,1,0,0,1
51,1,65.75,3,3,4,3,1,3,0,1
10,1,139.0,8,8,4,0,1,3,0,0
14,1,71.6,1,15,4,1,0,0,0,1
39,1,78.3,2,13,4,1,1,0,0,1
38,0,137.33,12,31,3,3,0,1,0,1
8,2,81.0,8,19,4,3,0,3,0,1
204,1,119.85,9,7,4,10,4,0,0,0
33,2,85.5,9,16,4,2,0,0,0,1
181,0,71.1,11,18,4,2,0,3,0,0
75,0,135.9,8,14,4,0,2,0,0,0
83,0,132.3,10,6,4,3,1,0,3,0
256,3,96.3,10,20,4,3,0,0,0,1
114,0,81.26,7,11,4,3,1,0,0,1
66,3,135.0,11,19,4,3,0,0,5,1
22,2,139.0,9,15,4,2,0,3,0,1
60,0,75.0,11,25,3,2,2,0,0,1
28,2,161.43,3,29,4,3,0,0,0,1
2,1,87.3,1,8,4,2,1,0,0,1
169,0,106.0,4,22,4,2,2,1,0,0
145,1,85.5,6,27,4,0,1,3,0,1
178,1,106.25,10,24,3,3,1,1,0,0
48,0,63.75,7,25,3,3,1,3,0,1
12,0,112.42,5,30,4,2,1,0,3,0
62,0,71.6,3,3,4,3,2,0,0,1
144,1,81.08,7,25,4,1,1,0,0,1
34,0,60.0,11,1,3,3,2,0,3,1
130,0,99.95,9,10,3,3,2,0,3,1
69,1,161.9,5,18,4,2,0,0,0,1
45,0,80.3,1,23,4,1,1,0,0,1
151,1,120.7,7,6,4,4,1,0,3,0
88,1,198.9,8,7,4,0,1,0,5,1
2,0,110.0,4,20,2,1,0,0,3,1
74,1,61.08,10,31,4,5,2,3,0,1
48,0,75.0,11,10,3,3,0,0,0,1
15,1,142.64,11,8,4,1,0,0,0,1
130,3,71.6,5,1,4,2,2,0,0,1
161,0,130.0,3,25,3,2,1,1,1,0
33,0,59.5,12,5,3,3,1,3,0,1
124,0,94.5,8,8,3,1,2,1,0,0
27,0,85.0,5,4,3,1,0,0,0,1
45,0,60.0,11,6,3,2,1,0,3,1
16,0,76.0,3,8,2,2,0,0,3,1
44,0,85.0,4,23,3,1,2,0,0,1
229,0,96.3,10,16,4,1,2,0,0,0
153,2,186.3,8,20,4,1,2,0,5,0
172,0,102.3,8,23,4,3,0,0,0,0
182,0,114.75,7,30,4,2,2,0,0,0
117,1,105.3,7,19,4,2,0,0,0,1
6,1,136.67,5,16,4,2,1,0,0,1
37,0,85.5,9,10,3,1,2,0,0,1
136,1,154.8,9,30,4,2,1,0,3,0
101,0,62.0,1,1,3,3,2,0,3,1
146,0,85.0,12,29,3,3,0,0,0,1
131,1,114.3,5,5,4,3,0,0,3,0
14,2,100.0,11,3,4,2,0,3,0,1
203,1,122.76,8,13,4,5,2,0,0,0
180,2,100.08,10,28,3,2,1,1,0,0
127,0,141.3,7,28,4,3,2,0,3,1
82,2,89.25,9,5,4,1,0,0,0,1
290,2,90.95,10,24,4,4,1,0,0,1
1,0,189.5,7,6,4,4,0,0,3,1
27,0,141.46,4,15,4,6,2,0,3,0
2,0,95.0,11,24,3,1,0,0,0,1
47,0,104.88,9,22,4,3,0,0,0,1
1,1,139.0,8,26,4,1,0,3,0,1
49,2,98.87,6,8,4,3,0,0,3,1
4,2,78.0,12,16,4,1,0,3,0,1
36,0,71.0,1,19,3,2,0,0,0,1
159,1,133.2,9,28,4,4,1,0,3,0
30,1,65.06,2,21,4,2,2,0,0,1
55,0,129.6,10,21,4,2,2,0,4,1
296,0,85.0,9,21,3,4,0,0,0,0
35,1,109.8,8,30,4,4,0,0,0,0
118,2,113.33,6,26,4,6,4,0,0,1
151,0,70.0,1,19,3,2,0,0,0,1
4,1,65.0,2,16,2,3,0,0,0,1
1,1,106.0,1,4,4,0,1,0,3,1
13,0,96.6,3,7,4,4,1,0,0,1
86,1,114.3,7,17,4,0,1,0,0,1
15,1,85.29,8,27,4,5,2,0,1,0
26,2,114.67,10,7,4,3,0,0,0,1
112,2,100.3,12,6,4,4,0,0,0,0
123,0,126.86,6,28,4,6,2,0,0,0
7,0,67.0,11,9,2,1,0,0,0,1
108,3,150.3,8,27,4,1,1,0,3,1
0,0,98.8,9,7,3,1,1,0,0,1
29,1,67.5,11,16,3,3,0,0,0,1
55,0,62.67,12,31,3,3,0,0,0,1
174,1,130.0,7,25,3,2,1,0,0,0
102,0,140.4,6,3,4,1,0,0,3,1
196,0,102.85,9,4,4,6,4,3,0,0
214,0,92.65,10,4,4,4,0,3,0,0
46,1,60.0,11,6,3,2,1,0,3,1
9,1,86.0,2,10,4,1,0,0,0,1
6,0,111.67,11,22,4,1,2,0,0,1
250,2,72.08,7,16,3,1,2,0,0,1
109,1,77.03,4,30,4,1,2,0,0,1
8,1,133.0,8,16,4,2,0,3,0,1
102,0,46.66,7,29,4,5,2,3,0,1
35,0,71.1,3,11,4,2,0,3,0,1
239,0,90.6,6,15,3,2,0,1,0,0
26,0,78.2,11,12,3,2,2,0,3,0
2,0,163.0,9,15,4,1,0,0,0,1
43,0,68.0,11,1,3,5,0,0,0,1
110,0,95.0,6,26,4,1,2,0,0,0
58,2,109.4,12,28,4,4,1,0,0,1
94,1,90.95,4,12,4,4,0,0,0,1
47,0,134.1,6,22,4,2,0,0,3,0
133,2,137.7,7,12,4,3,0,0,0,1
13,1,161.66,5,11,4,3,0,0,5,1
179,1,72.25,7,19,3,3,0,0,0,1
125,0,132.67,12,1,4,3,2,0,5,0
0,0,156.0,8,25,4,1,0,0,5,1
38,1,107.1,7,2,4,1,0,3,0,1
2,2,65.0,11,28,2,2,1,0,0,1
18,1,65.0,10,18,2,1,0,0,0,1
135,0,78.65,10,30,3,1,2,0,3,1
91,2,127.8,7,16,4,1,2,0,3,1
46,1,117.9,7,4,4,2,1,0,0,1
186,1,112.2,8,3,4,5,2,0,3,0
16,0,58.88,2,12,4,2,1,3,0,1
77,2,72.25,11,16,4,4,1,0,0,0
22,1,80.3,1,28,4,3,0,0,0,1
222,0,158.95,8,14,4,10,4,0,5,0
159,2,134.46,9,30,4,3,2,0,3,0
92,0,96.3,4,19,4,2,0,0,0,0
18,2,130.0,2,28,4,2,2,0,3,1
6,2,213.0,6,7,4,5,0,0,5,1
101,2,109.83,8,20,4,1,2,0,1,1
57,1,85.85,3,30,4,4,0,0,0,1
205,0,69.36,12,1,3,3,0,0,3,1
6,0,116.0,4,16,4,1,1,0,0,1
27,2,104.0,12,7,4,1,0,0,0,1
6,2,95.5,8,30,4,2,2,0,0,1
10,2,146.0,5,6,4,2,1,0,3,1
26,1,117.67,9,17,4,3,0,0,0,0
41,0,191.58,4,21,4,3,0,0,6,0
41,1,110.7,6,20,4,3,1,0,0,1
116,0,89.25,5,15,4,3,2,3,0,0
23,0,89.0,6,23,4,1,0,3,0,0
75,0,12.0,3,17,3,3,1,0,0,0
2,1,101.0,4,7,4,1,0,0,0,1
216,0,86.7,8,30,3,4,0,0,3,1
0,0,65.0,11,29,2,1,0,0,0,1
67,1,104.55,11,10,4,2,0,0,0,0
140,2,195.3,7,8,4,1,0,0,5,1
19,0,102.0,8,31,4,4,1,0,0,1
71,0,128.0,12,7,4,4,0,0,3,1
60,3,105.4,12,23,4,2,2,0,0,1
78,0,80.75,10,18,3,3,0,0,0,1
180,0,49.74,8,16,4,5,2,0,0,0
77,1,94.5,4,15,4,2,0,3,0,1
48,2,98.87,6,8,4,3,0,0,3,1
55,2,122.4,9,7,4,4,1,0,3,1
58,1,102.15,10,31,4,1,1,0,0,1
66,0,72.25,7,11,3,2,1,0,0,1
124,0,159.3,6,3,4,2,1,0,3,0
154,0,151.2,10,16,4,2,2,0,3,0
93,0,73.74,4,4,4,3,1,0,1,1
73,0,75.0,12,4,3,0,2,0,0,1
90,1,109.8,12,18,4,0,2,0,0,1
51,0,123.3,4,14,4,2,0,0,3,0
141,1,163.8,9,23,4,2,0,0,3,1
8,1,72.38,12,6,4,1,0,0,0,1
111,1,189.0,7,23,4,3,2,1,3,1
48,1,94.5,10,19,4,3,1,0,0,1
42,1,83.61,3,10,4,3,0,0,0,1
82,0,99.45,4,6,4,4,1,0,3,0
0,1,78.42,3,25,4,2,2,0,5,1
180,1,120.0,10,10,3,2,1,0,0,0
34,1,119.5,6,12,4,1,2,0,1,1
201,0,72.08,7,6,3,3,0,0,0,1
16,1,117.6,9,5,3,4,2,0,0,1
37,3,99.48,11,14,4,4,1,1,3,1
75,0,60.0,2,20,3,2,2,0,0,1
145,0,114.3,7,30,4,1,1,0,0,0
25,0,187.0,7,2,4,1,1,0,3,0
209,0,106.25,8,21,4,5,2,0,0,0
7,1,118.2,12,31,4,4,2,0,3,1
4,0,108.35,2,12,4,14,6,0,3,0
0,0,139.0,8,20,4,1,0,3,0,1
86,2,99.0,11,4,4,2,1,0,0,1
3,1,31.0,2,26,2,1,0,0,0,1
167,2,85.0,11,19,4,3,2,0,0,1
113,0,85.0,6,30,4,3,1,0,0,0
49,1,80.3,3,4,4,2,1,0,0,1
28,2,164.5,10,7,4,4,2,0,3,1
11,1,125.4,10,4,4,3,2,0,0,1
27,0,156.0,5,18,4,1,0,0,3,1
13,0,115.0,6,12,4,0,2,0,0,0
153,0,189.9,6,12,4,1,2,0,5,0
91,0,140.4,5,13,4,2,1,0,3,0
135,2,162.0,9,25,4,0,2,0,3,1
6,1,136.0,10,20,4,2,0,0,3,1
40,0,140.4,5,17,4,3,0,0,3,1
37,1,159.3,3,25,4,1,0,0,3,0
91,0,40.0,9,30,3,2,1,0,0,1
111,0,76.5,8,3,4,4,1,0,0,1
24,1,124.0,5,2,4,0,1,3,0,1
27,0,83.0,9,22,3,2,0,1,0,1
209,1,66.53,7,2,4,4,2,0,0,1
15,0,85.33,2,18,3,3,0,0,0,1
11,0,143.33,4,13,4,3,0,0,3,0
1,0,12.0,8,7,4,0,1,0,0,1
238,0,80.0,10,13,3,3,0,0,0,1
61,0,92.28,5,11,4,4,0,0,0,0
34,0,224.67,9,23,4,3,0,1,0,0
10,1,0.0,1,17,4,0,0,3,0,1
39,1,83.9,3,3,4,3,1,0,0,1
1,1,97.0,3,12,4,1,0,3,0,1
142,1,76.5,8,9,4,1,2,0,0,1
6,1,0.0,6,20,1,0,1,0,3,1
233,1,81.81,8,17,4,4,0,0,1,0
141,0,90.0,9,20,3,0,1,0,0,1
152,2,119.0,7,11,4,1,1,0,0,0
8,1,83.39,10,25,4,1,0,3,0,1
29,1,119.0,10,16,4,0,1,3,0,1
217,1,80.75,8,7,4,4,2,3,0,1
9,0,111.35,5,31,4,1,0,0,0,0
23,2,200.0,8,21,4,1,2,0,3,1
101,0,140.7,7,31,4,1,2,0,3,1
96,2,94.67,11,18,4,2,1,0,0,1
93,2,72.25,12,3,4,3,1,0,0,1
18,1,107.65,10,16,4,3,2,0,3,1
38,0,52.39,3,5,4,3,2,3,0,1
25,1,149.0,10,5,4,2,0,0,0,1
50,0,145.69,11,9,4,2,0,0,0,0
44,0,94.8,11,2,4,4,0,0,0,1
6,0,118.0,3,11,4,2,0,0,0,0
74,0,81.25,7,23,3,2,2,0,0,1
193,1,93.09,9,29,4,3,0,0,0,0
73,0,85.67,11,24,3,3,0,0,0,1
52,1,173.0,1,28,3,2,0,0,5,1
0,0,0.0,8,11,1,2,0,0,0,1
24,0,119.25,9,17,4,3,1,0,0,1
145,1,116.55,6,21,4,2,0,0,0,0
177,1,80.75,7,26,4,4,0,3,0,0
36,1,107.1,7,1,4,2,0,3,0,1
17,0,85.0,2,22,4,0,1,0,0,0
9,2,109.0,8,31,4,4,1,0,0,1
3,0,58.0,12,17,3,3,0,0,0,1
174,0,141.3,10,4,4,4,0,0,3,0
184,1,173.25,8,2,4,5,2,1,0,0
2,0,92.86,11,18,4,2,2,0,0,1
79,0,126.9,4,30,4,1,2,0,0,0
139,0,72.25,7,5,3,5,2,0,0,0
31,2,74.8,11,30,4,4,2,3,0,1
46,1,106.8,3,17,4,3,0,0,3,0
107,0,107.1,8,2,4,5,0,0,0,0
75,0,75.0,11,29,3,5,0,0,0,1
141,0,143.1,9,17,4,1,1,0,3,0
14,1,72.0,5,18,3,4,0,0,0,1
43,3,96.3,10,29,4,3,0,0,0,1
14,1,98.67,10,30,3,2,1,0,3,1
81,0,90.9,6,23,4,1,0,0,0,0
30,0,98.1,5,25,4,1,0,3,0,0
15,0,80.0,1,26,2,1,0,0,0,1
78,1,105.3,3,24,4,3,0,0,0,1
42,1,126.0,3,5,4,1,2,1,3,1
0,0,135.0,5,24,4,1,0,0,0,0
3,2,102.8,4,23,4,1,1,0,0,1
30,1,73.37,11,26,4,1,2,3,0,1
80,0,168.3,9,15,4,3,1,0,3,1
0,0,80.0,12,23,4,1,0,3,0,1
148,1,123.3,10,25,4,1,0,0,3,1
20,0,87.0,1,22,4,1,0,0,0,1
45,2,86.4,12,8,4,3,0,0,0,1
133,1,81.25,7,13,3,4,0,0,0,1
28,1,114.0,4,16,4,1,1,0,0,1
162,2,85.17,9,4,3,2,1,1,0,1
9,1,0.0,9,7,1,1,0,0,1,1
98,0,73.95,3,16,4,4,0,0,0,1
11,1,81.0,2,12,4,2,1,3,0,1
290,0,72.0,6,17,3,2,1,0,0,1
28,0,110.0,11,2,4,1,0,3,0,0
214,1,89.75,7,29,4,2,2,3,0,1
30,0,109.35,10,2,4,2,2,0,0,1
29,0,38.67,2,13,3,1,2,0,0,1
73,2,140.4,8,6,4,1,2,0,3,1
3,1,177.5,9,19,4,1,1,0,3,1
60,2,80.1,10,27,4,1,0,3,0,1
156,2,122.63,10,31,4,3,1,0,3,0
130,1,104.4,5,5,4,3,0,0,0,1
71,1,105.0,11,11,4,2,1,0,0,1
53,1,81.7,3,17,4,3,1,3,0,1
1,0,79.0,2,13,2,1,0,0,0,1
191,1,153.5,8,14,4,2,2,1,3,0
134,2,85.5,7,3,4,0,2,3,0,1
58,1,78.3,3,14,4,2,1,0,0,1
10,1,112.33,6,26,4,1,2,3,0,0
152,2,130.05,7,13,4,5,2,0,3,0
116,1,88.4,12,23,4,4,2,0,0,1
5,2,189.43,4,26,4,3,0,0,5,1
34,1,138.0,10,30,4,0,2,0,0,1
19,0,85.5,10,7,2,1,0,0,0,1
55,0,168.3,9,20,4,3,0,0,3,0
23,0,95.98,9,7,4,7,3,0,0,1
49,1,72.25,6,17,3,3,2,3,0,1
254,1,100.3,9,29,4,3,1,0,0,0
46,2,106.2,11,3,4,3,0,0,3,1
2,1,133.6,2,8,4,4,1,0,3,1
95,2,108.0,10,8,4,2,2,3,0,1
116,1,96.05,9,18,4,2,1,1,0,0
0,0,81.0,8,6,4,1,0,0,0,1
12,0,112.42,5,30,4,2,1,0,3,0
77,0,76.5,8,3,4,12,5,0,0,0
24,0,45.5,2,29,3,3,1,0,0,1
1,1,0.0,3,1,1,2,0,0,4,1
101,0,187.85,6,1,4,4,0,0,5,0
150,0,96.0,6,16,3,3,0,0,0,0
36,0,160.5,2,26,4,2,1,0,5,0
73,2,89.25,10,22,4,3,0,0,0,1
37,0,69.9,2,22,4,2,1,3,0,0
38,1,91.9,2,22,4,1,1,0,3,1
250,2,84.15,12,30,4,2,2,0,0,0
107,1,130.0,6,10,3,2,0,0,0,1
231,1,90.95,8,21,4,2,2,0,0,1
2,1,72.38,4,20,4,3,0,3,0,1
116,0,70.0,2,28,3,0,2,0,0,1
14,2,75.27,11,14,4,3,1,0,3,1
1,0,89.0,1,6,4,1,0,0,0,1
7,0,97.0,3,8,3,1,0,0,0,1
0,0,154.0,10,20,4,1,0,0,0,1
220,1,156.0,9,17,4,1,2,1,0,0
199,1,98.1,10,1,4,1,1,3,0,1
60,0,98.21,12,29,4,5,0,0,0,1
9,2,114.5,9,7,4,1,1,0,0,1
113,2,132.77,5,18,4,4,1,0,0,1
2,1,88.0,1,22,4,2,0,0,0,1
2,0,65.0,9,27,2,0,2,0,0,0
26,1,151.0,7,15,4,2,1,0,0,1
93,0,60.0,3,5,3,1,2,0,0,1
34,0,152.1,8,13,4,1,2,0,0,1
133,0,86.36,8,15,3,2,1,0,0,0
64,1,114.33,4,20,4,4,0,0,3,0
191,1,93.5,9,2,4,4,0,0,0,0
152,1,149.25,8,6,4,3,2,1,0,0
135,0,137.7,8,2,4,2,0,0,3,0
91,1,90.9,4,12,4,3,0,0,0,1
136,0,80.75,9,4,3,2,2,0,0,1
83,2,105.3,7,14,4,3,1,0,0,1
4,1,139.0,7,16,4,1,0,3,0,1
35,0,540.0,3,25,3,1,0,0,0,0
